Buchungsnummer,Reisedatum,Passagier-ID,Abfahrtsbahnhof,Zug-ID,Zugpersonal,Waggontyp,Reiseklasse,Fahrtstrecke_km,Tarif_pro_km,Ticketpreis,Reservierungsgebühr,Gesamtbetrag
TR-2021-001789,2021-01-01,Mieter-U-054-1,Berlin,V-01,Hans Müller,Liegewagen,2. Klasse (Flexpreis),43,0.239,10.28,4.9,15.18
TR-2021-000773,2021-01-01,Mieter-U-024-1,Hamburg,V-01,Hans Müller,Bordbistro,2. Klasse (Sparpreis),325,0.105,34.12,4.9,39.02
TR-2021-004095,2021-01-01,Mieter-U-123-1,Köln,V-01,Hans Müller,Liegewagen,2. Klasse (Flexpreis),122,0.216,26.35,4.9,31.25
TR-2021-001354,2021-01-01,Mieter-U-041-1,Frankfurt,V-02,Petra Schmidt,Gepäckwagen,1. Klasse (Business),252,0.482,121.46,4.9,126.36
TR-2021-001458,2021-01-01,Mieter-U-044-1,Hamburg,V-01,Hans Müller,Business-Abteil,1. Klasse (Business),280,0.418,117.04,4.9,121.94
TR-2021-000307,2021-01-01,Mieter-U-010-1,München,V-02,Petra Schmidt,Bordbistro,2. Klasse (Sparpreis),231,0.105,24.26,4.9,29.16
TR-2021-004025,2021-01-01,Mieter-U-121-1,Berlin,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),130,0.104,13.52,4.9,18.42
TR-2021-000603,2021-01-01,Mieter-U-019-1,Köln,V-02,Petra Schmidt,Liegewagen,2. Klasse (Flexpreis),82,0.229,18.78,4.9,23.68
TR-2021-002385,2021-01-01,Mieter-U-072-1,Berlin,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),264,0.105,27.72,4.9,32.62
TR-2021-003591,2021-01-01,Mieter-U-108-1,Köln,V-03,Sabine Fischer,Bordshop,1. Klasse (Business),320,0.479,153.28,4.9,158.18
TR-2021-004965,2021-01-01,Mieter-U-149-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),168,0.109,18.31,4.9,23.21
TR-2021-004328,2021-01-01,Mieter-U-130-1,Köln,V-05,Markus Wagner,Bordshop,1. Klasse (Business),235,0.422,99.17,4.9,104.07
TR-2021-001255,2021-02-01,Mieter-U-038-1,Köln,V-04,Thomas Weber,Business-Abteil,1. Klasse (Business),80,0.444,35.52,4.9,40.42
TR-2021-002489,2021-02-01,Mieter-U-075-1,München,V-04,Thomas Weber,Bordbistro,2. Klasse (Sparpreis),287,0.101,28.99,0.0,28.99
TR-2021-000204,2021-02-01,Mieter-U-007-1,Hamburg,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),77,0.483,37.19,4.9,42.09
TR-2021-000070,2021-02-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,0.103,19.98,4.9,24.88
TR-2021-004096,2021-02-01,Mieter-U-123-1,Köln,V-01,Hans Müller,Liegewagen,2. Klasse (Flexpreis),122,0.2,24.4,0.0,24.4
TR-2021-001220,2021-02-01,Mieter-U-037-1,Frankfurt,V-03,Sabine Fischer,First Class Abteil,1. Klasse (Business),242,0.483,116.89,4.9,121.79
TR-2021-001390,2021-02-01,Mieter-U-042-1,Köln,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),317,0.097,30.75,4.9,35.65
TR-2021-001355,2021-02-01,Mieter-U-041-1,Frankfurt,V-02,Petra Schmidt,Gepäckwagen,1. Klasse (Business),252,0.471,118.69,0.0,118.69
TR-2021-004228,2021-02-01,Mieter-U-127-1,Hamburg,V-01,Hans Müller,Reisezentrum,2. Klasse (Sparpreis),427,0.091,38.86,0.0,38.86
TR-2021-004263,2021-02-01,Mieter-U-128-1,Berlin,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),98,0.093,9.11,4.9,14.01
TR-2021-004026,2021-02-01,Mieter-U-121-1,Berlin,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),130,0.101,13.13,0.0,13.13
TR-2021-004500,2021-02-01,Mieter-U-135-1,München,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),129,0.108,13.93,4.9,18.83
TR-2021-001117,2021-02-01,Mieter-U-034-1,Berlin,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),478,0.463,221.31,4.9,226.21
TR-2021-000272,2021-02-01,Mieter-U-009-1,Hamburg,V-03,Sabine Fischer,Business-Abteil,1. Klasse (Business),92,0.472,43.42,4.9,48.32
TR-2021-000308,2021-02-01,Mieter-U-010-1,München,V-02,Petra Schmidt,Bordbistro,2. Klasse (Sparpreis),231,0.091,21.02,0.0,21.02
TR-2021-000471,2021-02-01,Mieter-U-015-1,Berlin,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),168,0.097,16.3,4.9,21.2
TR-2021-000604,2021-02-01,Mieter-U-019-1,Köln,V-02,Petra Schmidt,Liegewagen,2. Klasse (Flexpreis),82,0.24,19.68,0.0,19.68
TR-2021-004999,2021-02-01,Mieter-U-150-1,München,V-01,Hans Müller,Bordshop,1. Klasse (Business),197,0.465,91.6,4.9,96.5
TR-2021-000639,2021-02-01,Mieter-U-020-1,Frankfurt,V-04,Thomas Weber,Liegewagen,2. Klasse (Flexpreis),91,0.212,19.29,4.9,24.19
TR-2021-004966,2021-02-01,Mieter-U-149-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),168,0.098,16.46,0.0,16.46
TR-2021-000673,2021-02-01,Mieter-U-021-1,München,V-03,Sabine Fischer,Panoramawagen,2. Klasse (Flexpreis),87,0.202,17.57,4.9,22.47
TR-2021-004868,2021-02-01,Mieter-U-146-1,Köln,V-01,Hans Müller,Schlafwagen,2. Klasse (Flexpreis),49,0.239,11.71,4.9,16.61
TR-2021-000774,2021-02-01,Mieter-U-024-1,Hamburg,V-01,Hans Müller,Bordbistro,2. Klasse (Sparpreis),325,0.099,32.18,0.0,32.18
TR-2021-000810,2021-02-01,Mieter-U-025-1,Hamburg,V-04,Thomas Weber,Bordshop,1. Klasse (Business),49,0.495,24.26,0.0,24.26
TR-2021-004765,2021-02-01,Mieter-U-143-1,München,V-02,Petra Schmidt,First Class Abteil,1. Klasse (Business),292,0.478,139.58,0.0,139.58
TR-2021-000847,2021-02-01,Mieter-U-026-1,Frankfurt,V-01,Hans Müller,Liegewagen,2. Klasse (Flexpreis),147,0.216,31.75,0.0,31.75
TR-2021-004601,2021-02-01,Mieter-U-138-1,Köln,V-03,Sabine Fischer,Bordbistro,2. Klasse (Sparpreis),199,0.094,18.71,4.9,23.61
TR-2021-000981,2021-02-01,Mieter-U-030-1,Hamburg,V-02,Petra Schmidt,Service-Abteil,2. Klasse (Sparpreis),498,0.096,47.81,0.0,47.81
TR-2021-001459,2021-02-01,Mieter-U-044-1,Hamburg,V-01,Hans Müller,Business-Abteil,1. Klasse (Business),280,0.48,134.4,0.0,134.4
TR-2021-004398,2021-02-01,Mieter-U-132-1,München,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),359,0.44,157.96,0.0,157.96
TR-2021-004329,2021-02-01,Mieter-U-130-1,Köln,V-05,Markus Wagner,Bordshop,1. Klasse (Business),235,0.486,114.21,0.0,114.21
TR-2021-003891,2021-02-01,Mieter-U-117-1,Köln,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),459,0.102,46.82,4.9,51.72
TR-2021-004060,2021-02-01,Mieter-U-122-1,München,V-03,Sabine Fischer,Bordbistro,2. Klasse (Sparpreis),343,0.109,37.39,4.9,42.29
TR-2021-003426,2021-02-01,Mieter-U-103-1,Köln,V-04,Thomas Weber,Panoramawagen,2. Klasse (Flexpreis),30,0.215,6.45,0.0,6.45
TR-2021-002688,2021-02-01,Mieter-U-081-1,Hamburg,V-01,Hans Müller,First Class Abteil,1. Klasse (Business),391,0.494,193.15,4.9,198.05
TR-2021-001984,2021-02-01,Mieter-U-060-1,Berlin,V-04,Thomas Weber,First Class Abteil,1. Klasse (Business),241,0.439,105.8,0.0,105.8
TR-2021-003492,2021-02-01,Mieter-U-105-1,Berlin,V-02,Petra Schmidt,Bordbistro,2. Klasse (Sparpreis),318,0.108,34.34,4.9,39.24
TR-2021-003358,2021-02-01,Mieter-U-101-1,München,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),327,0.104,34.01,4.9,38.91
TR-2021-002386,2021-02-01,Mieter-U-072-1,Berlin,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),264,0.107,28.25,0.0,28.25
TR-2021-002723,2021-02-01,Mieter-U-082-1,Frankfurt,V-03,Sabine Fischer,Panoramawagen,2. Klasse (Flexpreis),37,0.223,8.25,4.9,13.15
TR-2021-001691,2021-02-01,Mieter-U-051-1,Köln,V-03,Sabine Fischer,Bordshop,1. Klasse (Business),434,0.468,203.11,4.9,208.01
TR-2021-001790,2021-02-01,Mieter-U-054-1,Berlin,V-01,Hans Müller,Liegewagen,2. Klasse (Flexpreis),43,0.239,10.28,0.0,10.28
TR-2021-003592,2021-02-01,Mieter-U-108-1,Köln,V-03,Sabine Fischer,Bordshop,1. Klasse (Business),320,0.461,147.52,0.0,147.52
TR-2021-003185,2021-02-01,Mieter-U-096-1,München,V-05,Markus Wagner,First Class Abteil,1. Klasse (Business),251,0.423,106.17,0.0,106.17
TR-2021-003288,2021-02-01,Mieter-U-099-1,Hamburg,V-04,Thomas Weber,Gepäckwagen,1. Klasse (Business),238,0.49,116.62,0.0,116.62
TR-2021-001625,2021-02-01,Mieter-U-049-1,Hamburg,V-02,Petra Schmidt,Service-Abteil,2. Klasse (Sparpreis),34,0.093,3.16,4.9,8.06
TR-2021-002790,2021-02-01,Mieter-U-084-1,Köln,V-03,Sabine Fischer,Service-Abteil,2. Klasse (Sparpreis),172,0.093,16.0,4.9,20.9
TR-2021-002019,2021-02-01,Mieter-U-061-1,Köln,V-04,Thomas Weber,Reisezentrum,2. Klasse (Sparpreis),448,0.108,48.38,4.9,53.28
TR-2021-002185,2021-02-01,Mieter-U-066-1,Berlin,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),101,0.211,21.31,0.0,21.31
TR-2021-002891,2021-02-01,Mieter-U-087-1,Berlin,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),435,0.44,191.4,4.9,196.3
TR-2021-000775,2021-03-01,Mieter-U-024-1,Hamburg,V-01,Hans Müller,Bordbistro,2. Klasse (Sparpreis),325,0.106,34.45,0.0,34.45
TR-2021-004801,2021-03-01,Mieter-U-144-1,Hamburg,V-04,Thomas Weber,Bordbistro,2. Klasse (Sparpreis),96,0.096,9.22,4.9,14.12
TR-2021-002824,2021-03-01,Mieter-U-085-1,Berlin,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),35,0.226,7.91,4.9,12.81
TR-2021-000811,2021-03-01,Mieter-U-025-1,Hamburg,V-04,Thomas Weber,Bordshop,1. Klasse (Business),49,0.458,22.44,0.0,22.44
TR-2021-004766,2021-03-01,Mieter-U-143-1,München,V-02,Petra Schmidt,First Class Abteil,1. Klasse (Business),292,0.457,133.44,0.0,133.44
TR-2021-002186,2021-03-01,Mieter-U-066-1,Berlin,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),101,0.205,20.7,0.0,20.7
TR-2021-002958,2021-03-01,Mieter-U-089-1,Köln,V-03,Sabine Fischer,Liegewagen,2. Klasse (Flexpreis),47,0.207,9.73,4.9,14.63
TR-2021-003085,2021-03-01,Mieter-U-093-1,Frankfurt,V-04,Thomas Weber,Liegewagen,2. Klasse (Flexpreis),88,0.224,19.71,4.9,24.61
TR-2021-000848,2021-03-01,Mieter-U-026-1,Frankfurt,V-01,Hans Müller,Liegewagen,2. Klasse (Flexpreis),147,0.198,29.11,0.0,29.11
TR-2021-004730,2021-03-01,Mieter-U-142-1,Frankfurt,V-02,Petra Schmidt,Bordshop,1. Klasse (Business),138,0.441,60.86,4.9,65.76
TR-2021-002892,2021-03-01,Mieter-U-087-1,Berlin,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),435,0.405,176.18,0.0,176.18
TR-2021-002254,2021-03-01,Mieter-U-068-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),30,0.203,6.09,4.9,10.99
TR-2021-003856,2021-03-01,Mieter-U-116-1,Hamburg,V-01,Hans Müller,Service-Abteil,2. Klasse (Sparpreis),337,0.103,34.71,4.9,39.61
TR-2021-004869,2021-03-01,Mieter-U-146-1,Köln,V-01,Hans Müller,Schlafwagen,2. Klasse (Flexpreis),49,0.205,10.04,0.0,10.04
TR-2021-000205,2021-03-01,Mieter-U-007-1,Hamburg,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),77,0.406,31.26,0.0,31.26
TR-2021-002490,2021-03-01,Mieter-U-075-1,München,V-04,Thomas Weber,Bordbistro,2. Klasse (Sparpreis),287,0.098,28.13,0.0,28.13
TR-2021-000273,2021-03-01,Mieter-U-009-1,Hamburg,V-03,Sabine Fischer,Business-Abteil,1. Klasse (Business),92,0.486,44.71,0.0,44.71
TR-2021-002523,2021-03-01,Mieter-U-076-1,Frankfurt,V-02,Petra Schmidt,Gepäckwagen,1. Klasse (Business),79,0.429,33.89,4.9,38.79
TR-2021-002454,2021-03-01,Mieter-U-074-1,Köln,V-04,Thomas Weber,Liegewagen,2. Klasse (Flexpreis),36,0.207,7.45,4.9,12.35
TR-2021-000309,2021-03-01,Mieter-U-010-1,München,V-02,Petra Schmidt,Bordbistro,2. Klasse (Sparpreis),231,0.1,23.1,0.0,23.1
TR-2021-002557,2021-03-01,Mieter-U-077-1,Frankfurt,V-02,Petra Schmidt,Gepäckwagen,1. Klasse (Business),218,0.459,100.06,4.9,104.96
TR-2021-000472,2021-03-01,Mieter-U-015-1,Berlin,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),168,0.096,16.13,0.0,16.13
TR-2021-002387,2021-03-01,Mieter-U-072-1,Berlin,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),264,0.094,24.82,0.0,24.82
TR-2021-000605,2021-03-01,Mieter-U-019-1,Köln,V-02,Petra Schmidt,Liegewagen,2. Klasse (Flexpreis),82,0.235,19.27,0.0,19.27
TR-2021-005000,2021-03-01,Mieter-U-150-1,München,V-01,Hans Müller,Bordshop,1. Klasse (Business),197,0.453,89.24,0.0,89.24
TR-2021-002689,2021-03-01,Mieter-U-081-1,Hamburg,V-01,Hans Müller,First Class Abteil,1. Klasse (Business),391,0.416,162.66,0.0,162.66
TR-2021-000640,2021-03-01,Mieter-U-020-1,Frankfurt,V-04,Thomas Weber,Liegewagen,2. Klasse (Flexpreis),91,0.233,21.2,0.0,21.2
TR-2021-004967,2021-03-01,Mieter-U-149-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),168,0.093,15.62,0.0,15.62
TR-2021-002724,2021-03-01,Mieter-U-082-1,Frankfurt,V-03,Sabine Fischer,Panoramawagen,2. Klasse (Flexpreis),37,0.223,8.25,0.0,8.25
TR-2021-004602,2021-03-01,Mieter-U-138-1,Köln,V-03,Sabine Fischer,Bordbistro,2. Klasse (Sparpreis),199,0.101,20.1,0.0,20.1
TR-2021-000674,2021-03-01,Mieter-U-021-1,München,V-03,Sabine Fischer,Panoramawagen,2. Klasse (Flexpreis),87,0.215,18.7,0.0,18.7
TR-2021-002791,2021-03-01,Mieter-U-084-1,Köln,V-03,Sabine Fischer,Service-Abteil,2. Klasse (Sparpreis),172,0.101,17.37,0.0,17.37
TR-2021-002054,2021-03-01,Mieter-U-062-1,Hamburg,V-01,Hans Müller,Panoramawagen,2. Klasse (Flexpreis),109,0.199,21.69,4.9,26.59
TR-2021-004501,2021-03-01,Mieter-U-135-1,München,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),129,0.095,12.26,0.0,12.26
TR-2021-004566,2021-03-01,Mieter-U-137-1,Köln,V-02,Petra Schmidt,Reisezentrum,2. Klasse (Sparpreis),453,0.106,48.02,4.9,52.92
TR-2021-004162,2021-03-01,Mieter-U-125-1,Frankfurt,V-01,Hans Müller,Panoramawagen,2. Klasse (Flexpreis),71,0.212,15.05,4.9,19.95
TR-2021-004097,2021-03-01,Mieter-U-123-1,Köln,V-01,Hans Müller,Liegewagen,2. Klasse (Flexpreis),122,0.22,26.84,0.0,26.84
TR-2021-001791,2021-03-01,Mieter-U-054-1,Berlin,V-01,Hans Müller,Liegewagen,2. Klasse (Flexpreis),43,0.206,8.86,0.0,8.86
TR-2021-004061,2021-03-01,Mieter-U-122-1,München,V-03,Sabine Fischer,Bordbistro,2. Klasse (Sparpreis),343,0.094,32.24,0.0,32.24
TR-2021-001756,2021-03-01,Mieter-U-053-1,Hamburg,V-01,Hans Müller,Bordshop,1. Klasse (Business),96,0.469,45.02,4.9,49.92
TR-2021-003493,2021-03-01,Mieter-U-105-1,Berlin,V-02,Petra Schmidt,Bordbistro,2. Klasse (Sparpreis),318,0.094,29.89,0.0,29.89
TR-2021-001356,2021-03-01,Mieter-U-041-1,Frankfurt,V-02,Petra Schmidt,Gepäckwagen,1. Klasse (Business),252,0.468,117.94,0.0,117.94
TR-2021-001256,2021-03-01,Mieter-U-038-1,Köln,V-04,Thomas Weber,Business-Abteil,1. Klasse (Business),80,0.483,38.64,0.0,38.64
TR-2021-001692,2021-03-01,Mieter-U-051-1,Köln,V-03,Sabine Fischer,Bordshop,1. Klasse (Business),434,0.421,182.71,0.0,182.71
TR-2021-003593,2021-03-01,Mieter-U-108-1,Köln,V-03,Sabine Fischer,Bordshop,1. Klasse (Business),320,0.426,136.32,0.0,136.32
TR-2021-001391,2021-03-01,Mieter-U-042-1,Köln,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),317,0.108,34.24,0.0,34.24
TR-2021-003927,2021-03-01,Mieter-U-118-1,Köln,V-04,Thomas Weber,Liegewagen,2. Klasse (Flexpreis),40,0.209,8.36,4.9,13.26
TR-2021-001626,2021-03-01,Mieter-U-049-1,Hamburg,V-02,Petra Schmidt,Service-Abteil,2. Klasse (Sparpreis),34,0.107,3.64,0.0,3.64
TR-2021-001460,2021-03-01,Mieter-U-044-1,Hamburg,V-01,Hans Müller,Business-Abteil,1. Klasse (Business),280,0.485,135.8,0.0,135.8
TR-2021-003892,2021-03-01,Mieter-U-117-1,Köln,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),459,0.101,46.36,0.0,46.36
TR-2021-003722,2021-03-01,Mieter-U-112-1,Köln,V-05,Markus Wagner,Schlafwagen,2. Klasse (Flexpreis),68,0.231,15.71,4.9,20.61
TR-2021-004027,2021-03-01,Mieter-U-121-1,Berlin,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),130,0.105,13.65,0.0,13.65
TR-2021-000947,2021-03-01,Mieter-U-029-1,Hamburg,V-04,Thomas Weber,Business-Abteil,1. Klasse (Business),216,0.418,90.29,4.9,95.19
TR-2021-003427,2021-03-01,Mieter-U-103-1,Köln,V-04,Thomas Weber,Panoramawagen,2. Klasse (Flexpreis),30,0.217,6.51,0.0,6.51
TR-2021-003359,2021-03-01,Mieter-U-101-1,München,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),327,0.096,31.39,0.0,31.39
TR-2021-002020,2021-03-01,Mieter-U-061-1,Köln,V-04,Thomas Weber,Reisezentrum,2. Klasse (Sparpreis),448,0.093,41.66,0.0,41.66
TR-2021-000982,2021-03-01,Mieter-U-030-1,Hamburg,V-02,Petra Schmidt,Service-Abteil,2. Klasse (Sparpreis),498,0.099,49.3,0.0,49.3
TR-2021-001558,2021-03-01,Mieter-U-047-1,Berlin,V-05,Markus Wagner,Business-Abteil,1. Klasse (Business),29,0.406,11.77,4.9,16.67
TR-2021-001016,2021-03-01,Mieter-U-031-1,Köln,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),377,0.102,38.45,4.9,43.35
TR-2021-004465,2021-03-01,Mieter-U-134-1,München,V-03,Sabine Fischer,Service-Abteil,2. Klasse (Sparpreis),247,0.097,23.96,4.9,28.86
TR-2021-001051,2021-03-01,Mieter-U-032-1,Berlin,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),311,0.109,33.9,4.9,38.8
TR-2021-004399,2021-03-01,Mieter-U-132-1,München,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),359,0.434,155.81,0.0,155.81
TR-2021-001221,2021-03-01,Mieter-U-037-1,Frankfurt,V-03,Sabine Fischer,First Class Abteil,1. Klasse (Business),242,0.448,108.42,0.0,108.42
TR-2021-001985,2021-03-01,Mieter-U-060-1,Berlin,V-04,Thomas Weber,First Class Abteil,1. Klasse (Business),241,0.439,105.8,0.0,105.8
TR-2021-001118,2021-03-01,Mieter-U-034-1,Berlin,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),478,0.419,200.28,0.0,200.28
TR-2021-004330,2021-03-01,Mieter-U-130-1,Köln,V-05,Markus Wagner,Bordshop,1. Klasse (Business),235,0.479,112.56,0.0,112.56
TR-2021-003220,2021-03-01,Mieter-U-097-1,Frankfurt,V-04,Thomas Weber,Business-Abteil,1. Klasse (Business),206,0.435,89.61,4.9,94.51
TR-2021-004264,2021-03-01,Mieter-U-128-1,Berlin,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),98,0.098,9.6,0.0,9.6
TR-2021-003289,2021-03-01,Mieter-U-099-1,Hamburg,V-04,Thomas Weber,Gepäckwagen,1. Klasse (Business),238,0.474,112.81,0.0,112.81
TR-2021-004229,2021-03-01,Mieter-U-127-1,Hamburg,V-01,Hans Müller,Reisezentrum,2. Klasse (Sparpreis),427,0.093,39.71,0.0,39.71
TR-2021-003323,2021-03-01,Mieter-U-100-1,Berlin,V-03,Sabine Fischer,Bordshop,1. Klasse (Business),290,0.42,121.8,4.9,126.7
TR-2021-003186,2021-03-01,Mieter-U-096-1,München,V-05,Markus Wagner,First Class Abteil,1. Klasse (Business),251,0.454,113.95,0.0,113.95
TR-2021-000170,2021-03-01,Mieter-U-006-1,München,V-05,Markus Wagner,Liegewagen,2. Klasse (Flexpreis),48,0.211,10.13,4.9,15.03
TR-2021-000001,2021-03-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,0.098,34.99,4.9,39.89
TR-2021-000071,2021-03-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,0.097,18.82,0.0,18.82
TR-2021-000035,2021-03-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,0.212,15.48,4.9,20.38
TR-2021-000310,2021-04-01,Mieter-U-010-1,München,V-02,Petra Schmidt,Bordbistro,2. Klasse (Sparpreis),231,0.091,21.02,0.0,21.02
TR-2021-004265,2021-04-01,Mieter-U-128-1,Berlin,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),98,0.103,10.09,0.0,10.09
TR-2021-003119,2021-04-01,Mieter-U-094-1,Köln,V-03,Sabine Fischer,Liegewagen,2. Klasse (Flexpreis),117,0.23,26.91,4.9,31.81
TR-2021-005001,2021-04-01,Mieter-U-150-1,München,V-01,Hans Müller,Bordshop,1. Klasse (Business),197,0.478,94.17,0.0,94.17
TR-2021-004802,2021-04-01,Mieter-U-144-1,Hamburg,V-04,Thomas Weber,Bordbistro,2. Klasse (Sparpreis),96,0.096,9.22,0.0,9.22
TR-2021-002792,2021-04-01,Mieter-U-084-1,Köln,V-03,Sabine Fischer,Service-Abteil,2. Klasse (Sparpreis),172,0.099,17.03,0.0,17.03
TR-2021-001186,2021-04-01,Mieter-U-036-1,Köln,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),250,0.101,25.25,4.9,30.15
TR-2021-003893,2021-04-01,Mieter-U-117-1,Köln,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),459,0.11,50.49,0.0,50.49
TR-2021-000376,2021-04-01,Mieter-U-012-1,Frankfurt,V-01,Hans Müller,Bordshop,1. Klasse (Business),367,0.468,171.76,4.9,176.66
TR-2021-002287,2021-04-01,Mieter-U-069-1,Frankfurt,V-02,Petra Schmidt,Liegewagen,2. Klasse (Flexpreis),82,0.241,19.76,4.9,24.66
TR-2021-000812,2021-04-01,Mieter-U-025-1,Hamburg,V-04,Thomas Weber,Bordshop,1. Klasse (Business),49,0.414,20.29,0.0,20.29
TR-2021-002021,2021-04-01,Mieter-U-061-1,Köln,V-04,Thomas Weber,Reisezentrum,2. Klasse (Sparpreis),448,0.11,49.28,0.0,49.28
TR-2021-003857,2021-04-01,Mieter-U-116-1,Hamburg,V-01,Hans Müller,Service-Abteil,2. Klasse (Sparpreis),337,0.101,34.04,0.0,34.04
TR-2021-001152,2021-04-01,Mieter-U-035-1,Köln,V-04,Thomas Weber,Service-Abteil,2. Klasse (Sparpreis),467,0.097,45.3,4.9,50.2
TR-2021-000606,2021-04-01,Mieter-U-019-1,Köln,V-02,Petra Schmidt,Liegewagen,2. Klasse (Flexpreis),82,0.242,19.84,0.0,19.84
TR-2021-002757,2021-04-01,Mieter-U-083-1,Köln,V-03,Sabine Fischer,First Class Abteil,1. Klasse (Business),68,0.439,29.85,4.9,34.75
TR-2021-004331,2021-04-01,Mieter-U-130-1,Köln,V-05,Markus Wagner,Bordshop,1. Klasse (Business),235,0.425,99.88,0.0,99.88
