Konto;Kontobezeichnung;Datum;Betrag
4260,0;Instandhaltung;2025-01-31;-453,93
4930,0;Büromaterial;2025-01-31;-437,11
4600,0;Werbekosten;2025-01-31;-394,26
4930,0;Büromaterial;2025-01-31;-265,64
4530,0;Kfz-Kosten;2025-01-31;-349,17
4360,0;Versicherungen;2025-01-31;-22,56
4920,0;Telefon und Internet;2025-01-31;-128,85
4600,0;Werbekosten;2025-01-31;-38,97
4260,0;Instandhaltung;2025-01-31;-463,25
4530,0;Kfz-Kosten;2025-01-31;-409,56
4260,0;Instandhaltung;2025-01-31;-433,65
4930,0;Büromaterial;2025-01-31;-447,58
4260,0;Instandhaltung;2025-01-31;-121,25
4360,0;Versicherungen;2025-01-31;-434,46
4930,0;Büromaterial;2025-01-31;-468,58
4920,0;Telefon und Internet;2025-01-31;-435,16
4930,0;Büromaterial;2025-01-31;-235,89
4260,0;Instandhaltung;2025-01-31;-401,27
4260,0;Instandhaltung;2025-01-31;-172,05
4930,0;Büromaterial;2025-01-31;-350,17
4600,0;Werbekosten;2025-01-31;-334,65
4530,0;Kfz-Kosten;2025-01-31;-232,43
4600,0;Werbekosten;2025-01-31;-490,32
4360,0;Versicherungen;2025-01-31;-288,92
4210,0;Miete;2025-01-31;-436,27
4920,0;Telefon und Internet;2025-01-31;-154,6
4360,0;Versicherungen;2025-01-31;-313,59
4930,0;Büromaterial;2025-01-31;-224,92
4210,0;Miete;2025-01-31;-455,51
4600,0;Werbekosten;2025-01-31;-258,05
4930,0;Büromaterial;2025-01-31;-280,37
4260,0;Instandhaltung;2025-01-31;-409,53
4930,0;Büromaterial;2025-01-31;-115,04
4210,0;Miete;2025-01-31;-396,72
4360,0;Versicherungen;2025-01-31;-173,99
4210,0;Miete;2025-01-31;-64,8
4210,0;Miete;2025-01-31;-25,6
4530,0;Kfz-Kosten;2025-01-31;-141,16
4210,0;Miete;2025-01-31;-421,36
4920,0;Telefon und Internet;2025-01-31;-293,59
4210,0;Miete;2025-01-31;-192,06
4920,0;Telefon und Internet;2025-01-31;-85,16
4920,0;Telefon und Internet;2025-01-31;-61,67
4600,0;Werbekosten;2025-01-31;-13,59
4360,0;Versicherungen;2025-01-31;-144,35
4600,0;Werbekosten;2025-01-31;-212,13
4930,0;Büromaterial;2025-01-31;-80,51
4930,0;Büromaterial;2025-01-31;-20,25
4530,0;Kfz-Kosten;2025-01-31;-21,67
;--- ZWISCHENSUMME: EBITDA 1/2025 ---;2025-01-31;40157,22
4822,0;Abschreibungen auf Sachanlagen;2025-01-31;-1500,0
;--- ZWISCHENSUMME: EBIT 1/2025 ---;2025-01-31;38657,22
2110,0;Zinserträge;2025-01-31;100,0
2120,0;Zinsaufwendungen;2025-01-31;-400,0
;--- ZWISCHENSUMME: EBT 1/2025 ---;2025-01-31;38357,22
2200,0;Steuern;2025-01-31;-11507,17
;--- ERGEBNIS: Monatsüberschuss 1/2025 ---;2025-01-31;26850,05
8400,0;Erlöse aus Verkäufen;2025-02-28;769,61
8400,0;Erlöse aus Verkäufen;2025-02-28;692,55
8410,0;Erlöse aus Dienstleistungen;2025-02-28;895,5
8400,0;Erlöse aus Verkäufen;2025-02-28;642,91
8410,0;Erlöse aus Dienstleistungen;2025-02-28;170,01
8410,0;Erlöse aus Dienstleistungen;2025-02-28;798,17
8400,0;Erlöse aus Verkäufen;2025-02-28;535,73
8410,0;Erlöse aus Dienstleistungen;2025-02-28;217,26
8410,0;Erlöse aus Dienstleistungen;2025-02-28;321,34
8400,0;Erlöse aus Verkäufen;2025-02-28;639,02
8400,0;Erlöse aus Verkäufen;2025-02-28;396,12
8400,0;Erlöse aus Verkäufen;2025-02-28;600,3
8400,0;Erlöse aus Verkäufen;2025-02-28;199,95
8410,0;Erlöse aus Dienstleistungen;2025-02-28;995,36
8400,0;Erlöse aus Verkäufen;2025-02-28;730,16
8400,0;Erlöse aus Verkäufen;2025-02-28;798,23
8400,0;Erlöse aus Verkäufen;2025-02-28;847,81
8410,0;Erlöse aus Dienstleistungen;2025-02-28;137,13
8400,0;Erlöse aus Verkäufen;2025-02-28;302,52
8400,0;Erlöse aus Verkäufen;2025-02-28;487,56
8410,0;Erlöse aus Dienstleistungen;2025-02-28;154,32
8410,0;Erlöse aus Dienstleistungen;2025-02-28;131,89
8400,0;Erlöse aus Verkäufen;2025-02-28;259,97
8410,0;Erlöse aus Dienstleistungen;2025-02-28;847,54
8410,0;Erlöse aus Dienstleistungen;2025-02-28;145,33
8410,0;Erlöse aus Dienstleistungen;2025-02-28;944,98
8400,0;Erlöse aus Verkäufen;2025-02-28;826,47
8400,0;Erlöse aus Verkäufen;2025-02-28;262,54
8410,0;Erlöse aus Dienstleistungen;2025-02-28;238,02
8400,0;Erlöse aus Verkäufen;2025-02-28;484,99
8400,0;Erlöse aus Verkäufen;2025-02-28;399,71
8410,0;Erlöse aus Dienstleistungen;2025-02-28;344,92
8400,0;Erlöse aus Verkäufen;2025-02-28;312,33
8400,0;Erlöse aus Verkäufen;2025-02-28;550,0
8410,0;Erlöse aus Dienstleistungen;2025-02-28;880,45
8400,0;Erlöse aus Verkäufen;2025-02-28;811,18
8400,0;Erlöse aus Verkäufen;2025-02-28;817,2
8410,0;Erlöse aus Dienstleistungen;2025-02-28;497,95
8400,0;Erlöse aus Verkäufen;2025-02-28;626,5
8400,0;Erlöse aus Verkäufen;2025-02-28;231,05
8400,0;Erlöse aus Verkäufen;2025-02-28;570,19
8400,0;Erlöse aus Verkäufen;2025-02-28;799,67
8410,0;Erlöse aus Dienstleistungen;2025-02-28;502,9
8400,0;Erlöse aus Verkäufen;2025-02-28;753,86
8400,0;Erlöse aus Verkäufen;2025-02-28;545,52
8400,0;Erlöse aus Verkäufen;2025-02-28;215,34
8410,0;Erlöse aus Dienstleistungen;2025-02-28;922,4
8400,0;Erlöse aus Verkäufen;2025-02-28;426,27
8410,0;Erlöse aus Dienstleistungen;2025-02-28;314,07
8400,0;Erlöse aus Verkäufen;2025-02-28;868,94
8410,0;Erlöse aus Dienstleistungen;2025-02-28;244,24
8410,0;Erlöse aus Dienstleistungen;2025-02-28;504,76
8400,0;Erlöse aus Verkäufen;2025-02-28;220,29
8400,0;Erlöse aus Verkäufen;2025-02-28;995,33
8400,0;Erlöse aus Verkäufen;2025-02-28;222,27
8400,0;Erlöse aus Verkäufen;2025-02-28;107,79
