Buchungsnummer,Reisedatum,Passagier-ID,Abfahrtsbahnhof,Zug-ID,Zugpersonal,Waggontyp,Reiseklasse,Fahrtstrecke_km,Tarif_pro_km,Ticketpreis,Reservierungsgebühr,Gesamtbetrag
TR-000029,2025-07-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000030,2025-08-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000031,2025-09-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000032,2025-10-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,6.18,2205.32,0.0,2205.32
TR-000033,2025-11-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,6.18,2205.32,0.0,2205.32
TR-000034,2025-12-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,6.18,2205.32,0.0,2205.32
TR-000035,2023-03-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,4023.35,5364.47
TR-000036,2023-04-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000037,2023-05-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000038,2023-06-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000039,2023-07-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000040,2023-08-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000041,2023-09-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000042,2023-10-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000043,2023-11-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000044,2023-12-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000045,2024-01-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000046,2024-02-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000047,2024-03-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000048,2024-04-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000049,2024-05-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000050,2024-06-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000051,2024-07-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000052,2024-08-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000053,2024-09-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000054,2024-10-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000055,2024-11-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000056,2024-12-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000057,2025-01-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000058,2025-02-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000059,2025-03-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.25,1405.44,0.0,1405.44
TR-000060,2025-04-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.64,1434.06,0.0,1434.06
TR-000061,2025-05-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.64,1434.06,0.0,1434.06
TR-000062,2025-06-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.64,1434.06,0.0,1434.06
TR-000063,2025-07-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.64,1434.06,0.0,1434.06
TR-000064,2025-08-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.64,1434.06,0.0,1434.06
TR-000065,2025-09-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.64,1434.06,0.0,1434.06
TR-000066,2025-10-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,19.64,1434.06,-4023.35,-2589.29
TR-000067,2025-10-01,Mieter-U-002-2,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,4023.35,5364.47
TR-000068,2025-11-01,Mieter-U-002-2,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000069,2025-12-01,Mieter-U-002-2,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,18.37,1341.12,0.0,1341.12
TR-000070,2023-02-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.8,1707.78,5123.35,6831.13
TR-000071,2023-03-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.8,1707.78,0.0,1707.78
TR-000072,2023-04-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.8,1707.78,0.0,1707.78
TR-000073,2023-05-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.8,1707.78,0.0,1707.78
TR-000074,2023-06-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.8,1707.78,0.0,1707.78
TR-000075,2023-07-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.8,1707.78,0.0,1707.78
TR-000076,2023-08-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.8,1707.78,0.0,1707.78
TR-000077,2023-09-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.8,1707.78,0.0,1707.78
TR-000078,2023-10-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.8,1707.78,0.0,1707.78
TR-000079,2023-11-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.8,1707.78,0.0,1707.78
TR-000080,2023-12-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.8,1707.78,0.0,1707.78
TR-000081,2024-01-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.8,1707.78,0.0,1707.78
TR-000082,2024-02-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000083,2024-03-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000084,2024-04-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000085,2024-05-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000086,2024-06-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000087,2024-07-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000088,2024-08-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000089,2024-09-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000090,2024-10-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000091,2024-11-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000092,2024-12-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000093,2025-01-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000094,2025-02-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,8.9,1727.3,0.0,1727.3
TR-000095,2025-03-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,9.25,1795.34,0.0,1795.34
TR-000096,2025-04-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,9.25,1795.34,0.0,1795.34
TR-000097,2025-05-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,9.25,1795.34,0.0,1795.34
TR-000098,2025-06-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,9.25,1795.34,0.0,1795.34
TR-000099,2025-07-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,9.25,1795.34,0.0,1795.34
TR-000100,2025-08-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,9.25,1795.34,0.0,1795.34
TR-000101,2025-09-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,9.25,1795.34,0.0,1795.34
TR-000102,2025-10-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,9.25,1795.34,0.0,1795.34
TR-000103,2025-11-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,9.25,1795.34,0.0,1795.34
TR-000104,2025-12-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,9.25,1795.34,0.0,1795.34
TR-000105,2023-04-01,Mieter-U-004-1,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,6647.75,8863.67
TR-000106,2023-05-01,Mieter-U-004-1,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000107,2023-06-01,Mieter-U-004-1,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000108,2023-07-01,Mieter-U-004-1,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000109,2023-08-01,Mieter-U-004-1,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000110,2023-09-01,Mieter-U-004-1,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000111,2023-10-01,Mieter-U-004-1,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000112,2023-11-01,Mieter-U-004-1,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000113,2023-12-01,Mieter-U-004-1,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,-6647.75,-4431.83
TR-000114,2024-02-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,6647.75,8863.67
TR-000115,2024-03-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000116,2024-04-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000117,2024-05-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000118,2024-06-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000119,2024-07-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000120,2024-08-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000121,2024-09-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000122,2024-10-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000123,2024-11-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000124,2024-12-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000125,2025-01-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000126,2025-02-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,15.63,2313.63,0.0,2313.63
TR-000127,2025-03-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,15.63,2313.63,0.0,2313.63
TR-000128,2025-04-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,15.63,2313.63,0.0,2313.63
TR-000129,2025-05-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,15.63,2313.63,0.0,2313.63
TR-000130,2025-06-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,15.63,2313.63,-6647.75,-4334.12
TR-000131,2025-06-01,Mieter-U-004-3,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,6647.75,8863.67
TR-000132,2025-07-01,Mieter-U-004-3,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000133,2025-08-01,Mieter-U-004-3,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000134,2025-09-01,Mieter-U-004-3,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000135,2025-10-01,Mieter-U-004-3,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000136,2025-11-01,Mieter-U-004-3,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000137,2025-12-01,Mieter-U-004-3,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,14.97,2215.92,0.0,2215.92
TR-000138,2023-05-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.27,1662.39,4987.17,6649.56
TR-000139,2023-06-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.27,1662.39,0.0,1662.39
TR-000140,2023-07-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.27,1662.39,0.0,1662.39
TR-000141,2023-08-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.27,1662.39,0.0,1662.39
TR-000142,2023-09-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.27,1662.39,0.0,1662.39
TR-000143,2023-10-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.27,1662.39,0.0,1662.39
TR-000144,2023-11-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.27,1662.39,0.0,1662.39
TR-000145,2023-12-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.27,1662.39,0.0,1662.39
TR-000146,2024-01-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.27,1662.39,0.0,1662.39
TR-000147,2024-02-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.27,1662.39,0.0,1662.39
TR-000148,2024-03-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.27,1662.39,0.0,1662.39
TR-000149,2024-04-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.27,1662.39,0.0,1662.39
TR-000150,2024-05-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000151,2024-06-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000152,2024-07-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000153,2024-08-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000154,2024-09-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000155,2024-10-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000156,2024-11-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000157,2024-12-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000158,2025-01-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000159,2025-02-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000160,2025-03-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000161,2025-04-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000162,2025-05-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.47,1680.9,0.0,1680.9
TR-000163,2025-06-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.74,1705.37,0.0,1705.37
TR-000164,2025-07-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.74,1705.37,0.0,1705.37
TR-000165,2025-08-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,18.74,1705.37,0.0,1705.37
