Transaktions-ID,Datum,Kunden-ID,Kundenstandort,Produkt-ID,Produktname,Produktkategorie,Menge,Preis pro Einheit,Gesamtbetrag
T000030,2023-01-14,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,4,500000,2000000
T000031,2023-01-14,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,9,220000,1980000
T000032,2023-01-14,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,5,150000,750000
T000033,2023-01-14,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,9,250000,2250000
T000034,2023-01-14,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,1,70000,70000
T000035,2023-01-14,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,3,220000,660000
T000036,2023-01-14,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,7,150000,1050000
T000037,2023-01-14,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,10,220000,2200000
T000038,2023-01-14,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,3,220000,660000
T000039,2023-01-14,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,9,500000,4500000
T000040,2023-01-14,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,7,220000,1540000
T000041,2023-01-15,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,3,500000,1500000
T000042,2023-01-15,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,6,85000,510000
T000043,2023-01-15,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,7,750000,5250000
T000044,2023-01-15,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,2,500000,1000000
T000045,2023-01-15,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,5,1200000,6000000
T000046,2023-01-15,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,8,150000,1200000
T000047,2023-01-15,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,1,750000,750000
T000048,2023-01-15,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,5,1200000,6000000
T000049,2023-01-15,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,8,150000,1200000
T000050,2023-01-15,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,5,1200000,6000000
T000051,2023-01-15,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,2,1200000,2400000
T000052,2023-01-15,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,4,220000,880000
T000053,2023-01-15,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,10,1200000,12000000
T000054,2023-01-15,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,1,70000,70000
T000055,2023-01-15,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,8,70000,560000
T000056,2023-01-15,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,9,70000,630000
T000057,2023-01-15,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,7,750000,5250000
T000058,2023-01-15,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,2,750000,1500000
T000059,2023-01-15,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,5,500000,2500000
T000060,2023-01-15,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,2,1200000,2400000
T000061,2023-01-15,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,2,1200000,2400000
T000062,2023-01-15,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,2,220000,440000
T000063,2023-01-15,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,8,85000,680000
T000064,2023-01-15,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,10,25500,255000
T000065,2023-01-15,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,2,1200000,2400000
T000066,2023-01-15,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,5,750000,3750000
T000067,2023-01-15,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,7,85000,595000
T000068,2023-01-15,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,4,380000,1520000
T000069,2023-01-15,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,5,250000,1250000
T000070,2023-01-15,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,7,250000,1750000
T000071,2023-01-15,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,10,750000,7500000
T000072,2023-01-15,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,8,70000,560000
T000073,2023-01-15,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,9,220000,1980000
T000074,2023-01-15,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,8,25500,204000
T000075,2023-01-15,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,6,70000,420000
T000076,2023-01-15,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,9,250000,2250000
T000077,2023-01-15,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,2,220000,440000
T000078,2023-01-15,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,6,380000,2280000
T000079,2023-01-15,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,10,25500,255000
T000080,2023-01-15,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,9,380000,3420000
T000081,2023-01-15,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,3,70000,210000
T000082,2023-01-15,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,1,85000,85000
T000083,2023-01-16,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,9,70000,630000
T000084,2023-01-16,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,4,70000,280000
T000085,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,7,220000,1540000
T000086,2023-01-16,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,3,85000,255000
T000087,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,4,500000,2000000
T000088,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,6,750000,4500000
T000089,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,7,150000,1050000
T000090,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,7,150000,1050000
T000091,2023-01-16,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,10,250000,2500000
T000092,2023-01-16,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,9,250000,2250000
T000093,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,7,150000,1050000
T000094,2023-01-16,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,6,380000,2280000
T000095,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,8,750000,6000000
T000096,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,10,750000,7500000
T000097,2023-01-16,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,6,85000,510000
T000098,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,4,25500,102000
T000099,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,8,500000,4000000
T000100,2023-01-16,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,8,70000,560000
T000101,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,2,750000,1500000
T000102,2023-01-16,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,9,250000,2250000
T000103,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,10,220000,2200000
T000104,2023-01-16,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,10,85000,850000
T000105,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,9,500000,4500000
T000106,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,8,1200000,9600000
T000107,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,8,1200000,9600000
T000108,2023-01-16,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,10,380000,3800000
T000109,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,5,25500,127500
T000110,2023-01-16,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,2,85000,170000
T000111,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,9,25500,229500
T000112,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,1,150000,150000
T000113,2023-01-16,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,4,250000,1000000
T000114,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,5,750000,3750000
T000115,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,7,220000,1540000
T000116,2023-01-16,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,2,85000,170000
T000117,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,10,750000,7500000
T000118,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,2,150000,300000
T000119,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,6,500000,3000000
T000120,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,1,25500,25500
T000121,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,6,220000,1320000
T000122,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,7,1200000,8400000
T000123,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,10,500000,5000000
T000124,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,4,220000,880000
T000125,2023-01-16,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,5,250000,1250000
T000126,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,5,750000,3750000
T000127,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,5,750000,3750000
T000128,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,8,750000,6000000
T000129,2023-01-16,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,6,250000,1500000
T000130,2023-01-16,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,8,85000,680000
T000131,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,8,25500,204000
T000132,2023-01-16,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,4,70000,280000
T000133,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,10,220000,2200000
T000134,2023-01-16,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,10,380000,3800000
T000135,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,2,25500,51000
T000136,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,2,25500,51000
T000137,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,9,25500,229500
T000138,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,2,150000,300000
T000139,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,4,750000,3000000
T000140,2023-01-16,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,8,380000,3040000
T000141,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,3,750000,2250000
T000142,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,6,1200000,7200000
T000143,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,7,220000,1540000
T000144,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,3,150000,450000
T000145,2023-01-16,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,6,70000,420000
T000146,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,10,500000,5000000
T000147,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,6,500000,3000000
T000148,2023-01-16,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,6,70000,420000
T000149,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,5,500000,2500000
T000150,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,4,150000,600000
T000151,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,4,25500,102000
T000152,2023-01-16,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,8,250000,2000000
T000153,2023-01-16,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,9,70000,630000
T000154,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,3,750000,2250000
T000155,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,5,25500,127500
T000156,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,8,1200000,9600000
T000157,2023-01-16,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,4,380000,1520000
T000158,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,8,750000,6000000
T000159,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,1,25500,25500
T000160,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,5,500000,2500000
T000161,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,5,150000,750000
T000162,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,10,1200000,12000000
T000163,2023-01-16,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,6,70000,420000
T000164,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,9,220000,1980000
T000165,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,6,220000,1320000
T000166,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,3,25500,76500
T000167,2023-01-16,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,6,380000,2280000
T000168,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,1,750000,750000
T000169,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,3,150000,450000
T000170,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,9,750000,6750000
T000171,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,10,25500,255000
T000172,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,2,150000,300000
T000173,2023-01-16,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,9,70000,630000
T000174,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,5,500000,2500000
T000175,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,1,150000,150000
T000176,2023-01-16,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,5,70000,350000
T000177,2023-01-16,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,5,380000,1900000
T000178,2023-01-16,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,7,250000,1750000
T000179,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,9,25500,229500
T000180,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,7,25500,178500
T000181,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,7,750000,5250000
T000182,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,2,500000,1000000
T000183,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,7,1200000,8400000
T000184,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,3,150000,450000
T000185,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,1,1200000,1200000
T000186,2023-01-16,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,8,380000,3040000
T000187,2023-01-16,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,10,85000,850000
T000188,2023-01-16,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,4,380000,1520000
T000189,2023-01-16,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,7,380000,2660000
T000190,2023-01-16,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,10,85000,850000
T000191,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,4,1200000,4800000
T000192,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,2,750000,1500000
T000193,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,1,25500,25500
T000194,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,2,220000,440000
T000195,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,5,220000,1100000
T000196,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,6,220000,1320000
T000197,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,6,150000,900000
T000198,2023-01-16,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,3,85000,255000
T000199,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,3,750000,2250000
T000200,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,5,1200000,6000000
T000201,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,5,500000,2500000
T000202,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,2,1200000,2400000
T000203,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,8,750000,6000000
T000204,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,7,220000,1540000
T000205,2023-01-16,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,10,250000,2500000
T000206,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,3,220000,660000
T000207,2023-01-16,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,1,250000,250000
T000208,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,8,750000,6000000
T000209,2023-01-16,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,8,85000,680000
T000210,2023-01-16,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,10,70000,700000
T000211,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,8,150000,1200000
T000212,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,7,25500,178500
T000213,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,3,750000,2250000
T000214,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,8,1200000,9600000
T000215,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,10,25500,255000
T000216,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,5,750000,3750000
T000217,2023-01-16,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,9,70000,630000
T000218,2023-01-16,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,5,220000,1100000
T000219,2023-01-16,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,5,380000,1900000
T000220,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,7,25500,178500
T000221,2023-01-16,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,4,380000,1520000
T000222,2023-01-16,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,9,1200000,10800000
T000223,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,1,25500,25500
T000224,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,4,150000,600000
T000225,2023-01-16,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,10,750000,7500000
T000226,2023-01-16,Customer-020,Frankfurt,PROD-005,Verstellbarer Monitorarm,Möbel,1,150000,150000
T000227,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,1,25500,25500
T000228,2023-01-16,Customer-020,Frankfurt,PROD-004,Stehpult-Konverter,Möbel,1,500000,500000
T000229,2023-01-16,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,1,85000,85000
T000230,2023-01-16,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,9,250000,2250000
T000231,2023-01-16,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,5,25500,127500
